Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
9918256;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;67;;;69111;579927.37;1188730.07;2013-12-06T00:00:00
9918272;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;69;;;69111;579922.85;1188772.84;2013-12-06T00:00:00
9918302;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;72;;;69111;579936.72;1188841.59;2013-12-06T00:00:00
9918311;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;73;;;69111;579944.39;1188872.44;2013-12-06T00:00:00
9918329;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;74;;;69111;579953.07;1188891.76;2013-12-06T00:00:00
9918337;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;75;;;69111;579935.12;1188909.20;2013-12-06T00:00:00
9918345;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;76;;;69111;579957.33;1188919.52;2013-12-06T00:00:00
9918353;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;77;;;69111;579933.84;1188940.02;2013-12-06T00:00:00
9918361;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;78;;;69111;579955.08;1188955.34;2013-12-06T00:00:00
9918370;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;79;;;69111;579970.14;1188980.19;2013-12-06T00:00:00
9918388;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;80;;;69111;579969.69;1188995.57;2013-12-06T00:00:00
9918396;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;81;;;69111;579963.31;1189030.90;2013-12-06T00:00:00
9918400;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;82;;;69111;579955.12;1189047.65;2013-12-06T00:00:00
9918418;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;83;;;69111;579971.02;1189064.19;2013-12-06T00:00:00
9918426;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;84;;;69111;579967.47;1189101.91;2013-12-06T00:00:00
9918434;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;85;;;69111;579982.00;1189123.19;2013-12-06T00:00:00
9918442;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;86;;;69111;579972.45;1189146.78;2013-12-06T00:00:00
9918451;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;87;;;69111;579979.84;1189168.34;2013-12-06T00:00:00
9918469;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;88;;;69111;579984.15;1189196.74;2013-12-06T00:00:00
9918477;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;89;;;69111;579991.00;1189228.22;2013-12-06T00:00:00
9918485;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;90;;;69111;579989.69;1189269.54;2013-12-06T00:00:00
9918507;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;92;;;69111;579784.61;1188295.67;2013-12-06T00:00:00
9918515;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;93;;;69111;579998.30;1189305.79;2013-12-06T00:00:00
9918523;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;94;;;69111;580088.00;1188702.99;2013-12-06T00:00:00
9918531;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;95;;;69111;579816.86;1188611.53;2013-12-06T00:00:00
9918540;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;96;;;69111;579875.29;1188408.31;2013-12-06T00:00:00
9918558;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;97;;;69111;580089.90;1188807.82;2013-12-06T00:00:00
9918566;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;98;;;69111;579793.50;1188293.89;2013-12-06T00:00:00
9918574;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;99;;;69111;579995.40;1189372.52;2013-12-06T00:00:00
9918591;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;101;;;69111;580091.87;1188646.70;2013-12-06T00:00:00
9918604;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;102;;;69111;580108.57;1188701.59;2020-01-06T00:00:00
9918612;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;103;;;69111;580113.64;1188907.98;2013-12-06T00:00:00
9918621;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;104;;;69111;579724.13;1188420.21;2013-12-06T00:00:00
9918639;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;105;;;69111;579756.38;1188401.92;2013-12-06T00:00:00
9918647;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;106;;;69111;580130.02;1189065.70;2013-12-06T00:00:00
9918655;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;107;;;69111;580104.04;1188878.88;2013-12-06T00:00:00
9918663;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;108;;;69111;580041.70;1188863.72;2013-12-06T00:00:00
9918671;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;109;;;69111;579744.10;1188350.24;2013-12-06T00:00:00
9918680;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;110;;;69111;580056.27;1188724.39;2013-12-06T00:00:00
9918698;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;111;;;69111;579884.20;1188584.85;2013-12-06T00:00:00
9918701;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;112;;;69111;579837.19;1188624.57;2018-07-30T00:00:00
9918710;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;113;;;69111;579866.33;1188589.58;2013-12-06T00:00:00
9918728;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;114;;;69111;579903.05;1188580.74;2013-12-06T00:00:00
9918736;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;115;;;69111;580138.16;1189261.01;2013-12-06T00:00:00
9918744;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;116;;;69111;580100.58;1189307.90;2013-12-06T00:00:00
9918752;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;117;;;69111;580058.91;1187826.33;2013-12-06T00:00:00
9918761;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;118;;;69111;579778.02;1188492.68;2013-12-06T00:00:00
9918779;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;119;;;69111;579998.12;1188474.15;2013-12-06T00:00:00
9918787;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;120;;;69111;580102.95;1188863.72;2013-12-06T00:00:00
9918795;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;121;;;69111;579824.00;1188633.00;2013-12-06T00:00:00
9918809;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;122;;;69111;579807.82;1188638.27;2013-12-06T00:00:00
