Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
18645313;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;22;;;67551;654681.06;1164212.13;2013-12-01T00:00:00
18645321;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;23;;;67551;654652.88;1164299.50;2013-12-01T00:00:00
18645330;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;24;;;67551;654652.19;1164331.50;2013-12-01T00:00:00
18645348;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;25;;;67551;654669.94;1164340.00;2013-12-01T00:00:00
18645356;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;26;;;67551;654805.63;1164212.63;2013-12-01T00:00:00
18645364;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;27;;;67551;654679.88;1164346.25;2013-12-01T00:00:00
18645372;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;28;;;67551;654672.88;1164317.13;2013-12-01T00:00:00
18645381;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;29;;;67551;654691.75;1164351.63;2013-12-01T00:00:00
18645399;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;30;;;67551;654536.88;1164213.50;2013-12-01T00:00:00
18645402;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;31;;;67551;655150.81;1162555.75;2013-12-01T00:00:00
18645411;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;32;;;67551;654701.44;1164336.63;2013-12-01T00:00:00
18645429;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;33;;;67551;654600.56;1164354.88;2013-12-01T00:00:00
18645445;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;35;;;67551;654821.23;1164088.25;2013-12-01T00:00:00
18645453;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;36;;;67551;655098.56;1162552.38;2013-12-01T00:00:00
18645461;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;37;;;67551;654688.56;1164302.00;2013-12-01T00:00:00
18645470;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;38;;;67551;654708.88;1164226.13;2013-12-01T00:00:00
18645488;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;39;;;67551;654818.69;1164236.13;2013-12-01T00:00:00
18645496;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;40;;;67551;654715.88;1164276.63;2013-12-01T00:00:00
18645500;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;41;;;67551;654773.25;1164278.38;2013-12-01T00:00:00
18645518;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;42;;;67551;654949.94;1164067.38;2013-12-01T00:00:00
18645526;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;43;;;67551;654576.81;1164342.50;2013-12-01T00:00:00
25939904;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;44;;;67551;654938.00;1164041.00;2013-12-01T00:00:00
26385309;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;45;;;67551;654922.00;1163988.00;2013-12-01T00:00:00
27473139;573485;Lesωςky;;;;;80365;Lesωςky;;;θ.p.;46;;;67551;655062.18;1162555.48;2013-12-01T00:00:00
