KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
22849122;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;216;;;26203;749387.88;1076154.63;2013-12-02T00:00:00
22849131;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;217;;;26203;749479.19;1076157.25;2013-12-02T00:00:00
22849149;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;218;;;26203;749457.81;1076168.13;2013-12-02T00:00:00
22849157;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;219;;;26203;749420.07;1076161.26;2013-12-02T00:00:00
22849165;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;220;;;26203;749368.19;1076153.13;2013-12-02T00:00:00
22849173;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;221;;;26203;749404.56;1076157.63;2013-12-02T00:00:00
22849181;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;222;;;26203;748763.00;1076298.38;2013-12-02T00:00:00
22849190;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;223;;;26203;748776.08;1076291.37;2013-12-02T00:00:00
22849203;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;224;;;26203;748747.11;1076279.95;2013-12-02T00:00:00
22849211;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;225;;;26203;748608.56;1076164.00;2013-12-02T00:00:00
22849220;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;226;;;26203;748627.63;1076171.38;2013-12-02T00:00:00
22849238;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;227;;;26203;748650.69;1076174.88;2013-12-02T00:00:00
22849246;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;228;;;26203;748672.31;1076178.00;2013-12-02T00:00:00
22849254;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;229;;;26203;748341.00;1077170.88;2013-12-02T00:00:00
