Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
315753;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;87;;;39842;757957.31;1119504.66;2015-12-16T00:00:00
26833557;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;12;;;39843;757491.00;1120177.50;2013-12-04T00:00:00
27655598;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;92;;;39842;758330.84;1119371.66;2013-12-04T00:00:00
30938899;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;91;;;39842;758220.00;1119399.00;2013-12-04T00:00:00
30938902;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.ev.;1;;;39842;758988.00;1118877.00;2013-12-04T00:00:00
30938911;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.ev.;2;;;39842;758314.93;1119320.64;2017-03-22T00:00:00
30938929;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.ev.;3;;;39842;758308.96;1119323.67;2017-03-22T00:00:00
40146278;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;90;;;39842;758990.82;1118895.64;2017-03-22T00:00:00
72843942;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;93;;;39842;758024.96;1119395.92;2014-06-25T00:00:00
74260871;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.ev.;4;;;39842;758997.97;1118845.99;2015-11-16T00:00:00
