Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1926781;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;125;;;67952;584133.62;1131813.71;2013-12-07T00:00:00
1926799;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;126;;;67952;583777.49;1131794.63;2013-12-07T00:00:00
1926802;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;127;;;67952;584218.11;1131449.75;2013-12-07T00:00:00
1926811;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;128;;;67952;584214.41;1131433.58;2013-12-07T00:00:00
1926829;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;129;;;67952;584004.02;1131597.61;2013-12-07T00:00:00
1926845;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;131;;;67952;583728.07;1131726.46;2013-12-07T00:00:00
1926853;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;132;;;67952;584354.31;1131655.78;2013-12-07T00:00:00
1926861;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;133;;;67952;584333.53;1131425.38;2013-12-07T00:00:00
1926870;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;134;;;67952;584238.29;1131492.32;2013-12-07T00:00:00
1926888;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;135;;;67952;583714.57;1131741.03;2013-12-07T00:00:00
1926900;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;137;;;67952;583713.78;1131722.87;2013-12-07T00:00:00
1926918;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;138;;;67952;583965.94;1131615.88;2013-12-07T00:00:00
1926926;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;139;;;67952;583786.91;1131769.70;2013-12-07T00:00:00
1926934;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;140;;;67952;583816.76;1131813.79;2013-12-07T00:00:00
1926942;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;141;;;67952;583741.87;1131725.70;2013-12-07T00:00:00
1926951;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;142;;;67952;584145.53;1131623.78;2013-12-07T00:00:00
1926969;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;143;;;67952;583858.61;1131834.68;2013-12-07T00:00:00
1926977;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;144;;;67952;584127.33;1131748.53;2013-12-07T00:00:00
1926985;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;145;;;67952;583836.76;1131820.11;2013-12-07T00:00:00
1926993;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;146;;;67952;583892.36;1131860.30;2013-12-07T00:00:00
